LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
56	-119.2	56.63	-10	104	24	11586	198	-235	433	127	-76	127	-166	467	79	19	51	212	67	212	76	lp
57	-118.96	57.32	-18	106	23	12015	198	-253	451	124	-88	124	-180	467	78	21	50	211	70	211	75	lp
58	-117.39	54.74	19	129	30	10013	223	-194	417	139	-38	139	-116	561	92	25	52	259	77	259	96	lp
59	-115.56	54.4	7	132	30	10379	214	-223	437	132	-52	132	-133	572	105	21	64	291	72	291	76	lp
60	-116.85	52.13	-20	110	31	7906	166	-185	351	79	-70	79	-122	655	81	36	28	233	115	233	144	lp
61	-116.56	52.1	-12	118	32	8033	178	-189	367	88	-63	88	-116	625	83	31	34	237	105	237	123	lp
62	-115.9	54.73	-3	125	29	10079	197	-222	419	118	-65	118	-138	590	106	22	61	295	76	295	81	lp
63	-114.62	51.57	18	132	33	9174	215	-185	400	111	-35	131	-103	507	89	20	52	222	69	218	75	lp
64	-114.62	51.13	21	131	32	8930	218	-180	398	111	-29	132	-96	513	87	23	44	210	77	202	88	lp
65	-117.39	53.05	-9	117	32	8185	175	-180	355	93	-60	93	-116	566	91	23	48	248	84	248	91	lp
66	-114.73	49.57	12	126	34	7742	206	-161	367	48	105	110	-86	745	83	47	17	214	154	182	208	lp
67	-117.03	53.33	22	135	34	8858	220	-173	393	130	-33	130	-96	578	101	20	58	274	72	274	81	lp
68	-116.4	52.95	10	136	34	8731	210	-186	396	117	-40	117	-105	578	104	18	60	278	72	278	73	lp
69	-116.66	53.27	23	139	34	9193	227	-178	405	135	-29	135	-101	564	105	18	63	280	68	280	72	lp
70	-117.37	53.03	-9	117	32	8185	175	-180	355	93	-60	93	-116	566	91	23	48	248	84	248	91	lp
71	-117.15	53.12	11	129	33	8598	205	-176	381	117	-42	117	-103	560	96	20	56	261	75	261	80	lp
72	-114.48	50.15	-2	125	33	7876	189	-183	372	34	-40	97	-100	638	88	36	26	216	122	196	139	lp
73	-117.32	52.93	-14	116	32	8114	170	-182	352	87	-65	87	-119	574	91	23	47	249	86	249	93	lp
74	-116.03	53.05	13	141	34	9050	215	-193	408	122	-41	122	-109	575	108	17	65	285	67	285	68	lp
75	-116.89	53.75	19	135	34	8889	217	-172	389	129	-35	129	-98	587	109	19	64	291	68	291	78	lp
76	-117.39	56.46	3	130	27	11856	230	-242	472	142	-66	142	-158	413	67	17	51	189	56	189	67	lp
77	-117.45	53.67	17	131	34	8600	209	-172	381	123	-34	123	-96	570	98	21	56	268	73	268	85	lp
78	-115.06	52.27	17	144	34	9528	218	-200	418	115	-90	133	-113	531	98	17	63	253	62	252	62	lp
79	-116.77	54.37	24	133	33	9534	225	-178	403	140	-33	140	-103	573	104	21	62	283	70	283	85	lp
80	-117.01	53.58	24	137	34	8951	223	-172	395	134	-31	134	-95	574	103	19	61	278	69	278	79	lp
81	-114.7	50.89	13	129	32	8620	208	-184	392	98	-33	119	-99	567	89	29	35	212	96	199	115	lp
82	-115.21	51.7	-2	131	33	8705	193	-203	396	84	-50	105	-117	563	93	25	46	236	85	227	92	lp
83	-114.33	49.39	20	128	34	7761	216	-151	367	58	-24	119	-78	661	80	41	18	205	146	178	162	lp
84	-114.9	50.96	-7	124	32	8358	184	-196	380	75	-49	97	-114	604	91	32	32	220	107	204	125	lp
85	-115.71	57.68	-18	114	23	12981	213	-277	490	135	-95	135	-196	448	75	20	49	202	64	202	71	lp
86	-113.53	49.04	36	135	36	7876	235	-137	372	115	-10	137	-64	512	81	27	39	193	87	174	89	lp
87	-110.32	49.61	18	132	30	10082	238	-194	432	121	-38	145	-113	404	68	18	44	163	57	157	65	lp
88	-119.27	55.65	6	108	26	10688	205	-210	415	133	-56	133	-138	481	76	20	47	214	68	214	82	lp
89	-117.69	53.76	16	128	34	8527	206	-170	376	122	-35	122	-95	566	94	23	53	259	78	259	89	lp
90	-117.2	53.76	24	135	34	8876	220	-169	389	133	-30	133	-94	574	103	20	60	278	70	278	82	lp
91	-115.98	52.07	-11	125	32	8171	181	-202	383	90	-64	90	-116	602	91	26	42	243	97	243	102	lp
92	-115.93	52.04	-11	125	32	8171	181	-202	383	90	-64	90	-116	602	91	26	42	243	97	243	102	lp
93	-110.3	49.64	18	132	30	10082	238	-194	432	121	-38	145	-113	404	68	18	44	163	57	157	65	lp
94	-117.47	58.65	-21	117	23	13402	218	-274	492	137	-98	137	-202	427	64	19	46	186	60	186	67	lp
95	-114.77	51.03	13	130	32	8793	210	-186	396	101	-33	122	-102	558	89	28	37	213	94	199	111	lp
96	-115.17	51.48	-4	128	32	8541	191	-198	389	81	-49	103	-115	571	90	28	39	224	95	213	105	lp
97	-114.73	51.46	14	132	33	9052	211	-188	399	106	-37	126	-105	519	90	21	48	222	73	215	82	lp
98	-115.78	56.92	-13	121	25	12466	215	-268	483	134	-86	134	-183	463	77	20	51	213	64	213	73	lp
99	-116.1	56.87	-11	123	25	12371	217	-264	481	135	-84	135	-180	458	75	20	50	210	64	210	72	lp
100	-117.15	54.59	22	131	31	9954	226	-191	417	142	-35	142	-112	555	94	23	55	263	73	263	91	lp
101	-116.56	55.91	1	129	27	11688	224	-247	471	138	-67	138	-159	464	76	21	50	213	64	213	77	lp
102	-128.25	55.06	38	93	29	7724	209	-110	319	-14	40	136	-63	790	109	32	38	288	110	158	247	lp
103	-120.08	50.91	29	105	31	7817	212	-123	335	129	-15	129	-71	445	47	25	20	131	79	131	118	lp
104	-123.58	55.58	15	108	28	9452	210	-171	381	131	-39	131	-112	599	65	23	23	180	103	180	161	lp
105	-127.3	54.96	38	104	29	8219	218	-137	355	41	-3	139	-72	535	64	20	30	175	77	139	144	lp
106	-118.03	50.35	47	99	30	7750	233	-96	329	-43	43	147	-52	908	126	51	32	343	169	188	325	lp
107	-115.7	49.25	16	117	32	7784	214	-141	355	-74	113	117	-81	791	95	41	26	276	139	161	255	lp
108	-115.83	49.58	49	117	31	8660	251	-123	374	-57	5	159	-64	526	59	30	22	163	102	136	146	lp
109	-117	51.5	15	113	30	8526	212	-159	371	-89	15	123	-97	726	86	40	23	239	131	192	225	lp
110	-124.18	52.16	11	154	36	8903	217	-209	426	-49	-29	117	-112	380	41	16	28	120	54	111	102	lp
111	-115.93	49.1	27	117	33	7846	226	-127	353	-65	124	128	-71	779	97	39	29	281	132	152	256	lp
112	-118.95	50.46	49	103	30	8002	239	-101	340	-46	48	152	-54	617	77	36	21	201	121	153	189	lp
113	-119.75	51.21	21	101	30	7771	202	-130	332	-72	-24	121	-78	586	65	32	18	176	111	160	164	lp
114	-128.28	54.81	49	86	28	7588	215	-91	306	-3	91	145	-50	961	143	42	43	378	133	160	317	lp
115	-125.05	56.91	3	110	26	10429	203	-213	416	128	-50	128	-140	466	61	14	35	162	60	162	121	lp
116	-123.79	52.47	2	152	36	8715	204	-212	416	107	-40	107	-117	393	49	17	31	137	54	137	94	lp
117	-132.03	53.38	69	59	31	4367	172	-13	185	47	125	129	19	1711	240	66	41	668	223	286	560	lp
118	-120.32	51.31	30	106	31	7825	211	-129	340	-65	-14	130	-71	532	58	29	19	157	98	151	146	lp
119	-119.98	49.81	30	112	32	7818	219	-122	341	130	-15	130	-71	317	34	17	23	98	56	98	79	lp
120	-119.58	51.68	37	109	30	8247	229	-128	357	-64	39	141	-71	714	80	38	19	220	135	187	202	lp
